Image Name,Filter Name,PSNR (dB),SSIM,Route Count
baboon_10noise.bmp,Hybrid Filter (HF),32.9,0.9773,1
baboon_20noise.bmp,Hybrid Filter (HF),29.62,0.9508,1
baboon_30noise.bmp,Hybrid Filter (HF),27.48,0.9182,1
baboon_40noise.bmp,Hybrid Filter (HF),25.85,0.8795,1
baboon_50noise.bmp,Hybrid Filter (HF),24.61,0.8369,1
baboon_60noise.bmp,Hybrid Filter (HF),23.25,0.7797,1
baboon_70noise.bmp,Hybrid Filter (HF),21.96,0.7054,2
baboon_80noise.bmp,Hybrid Filter (HF),20.6,0.6069,2
baboon_90noise.bmp,Hybrid Filter (HF),19.04,0.4627,3
