Image Name,Filter Name,PSNR (dB),SSIM,Route Count
lena_40noise.bmp,AMSHF (Experiment),35.33,0.9555,1
lena_40noise.bmp,AHF (Proposed),35.39,0.9558,1
lena_50noise.bmp,Hybrid Filter (HF),33.8,0.9393,1
lena_50noise.bmp,AMSHF (Experiment),33.85,0.9396,1
lena_50noise.bmp,AHF (Proposed),33.97,0.9407,1
lena_60noise.bmp,Hybrid Filter (HF),32.13,0.9191,1
lena_60noise.bmp,AMSHF (Experiment),32.15,0.9192,1
lena_60noise.bmp,AHF (Proposed),32.34,0.9218,1
lena_70noise.bmp,Hybrid Filter (HF),30.57,0.8914,2
lena_70noise.bmp,AMSHF (Experiment),30.58,0.8915,2
lena_70noise.bmp,AHF (Proposed),30.65,0.8951,2
lena_80noise.bmp,Hybrid Filter (HF),28.69,0.8503,2
lena_80noise.bmp,AMSHF (Experiment),28.69,0.8503,2
lena_80noise.bmp,AHF (Proposed),28.63,0.8518,2
lena_90noise.bmp,Hybrid Filter (HF),26.23,0.7797,3
lena_90noise.bmp,AMSHF (Experiment),26.23,0.7797,3
lena_90noise.bmp,AHF (Proposed),26.04,0.7767,3

Image Name,Filter Name,PSNR (dB),SSIM,Route Count
pepper_10noise.bmp,Hybrid Filter (HF),42.0,0.9838,1
pepper_10noise.bmp,AMSHF (Experiment),42.01,0.9838,1
pepper_10noise.bmp,AHF (Proposed),42.01,0.9838,1
pepper_20noise.bmp,Hybrid Filter (HF),38.12,0.9655,1
pepper_20noise.bmp,AMSHF (Experiment),38.13,0.9656,1
pepper_20noise.bmp,AHF (Proposed),38.14,0.9656,1
pepper_30noise.bmp,Hybrid Filter (HF),35.63,0.9464,1
pepper_30noise.bmp,AMSHF (Experiment),35.67,0.9466,1
pepper_30noise.bmp,AHF (Proposed),35.68,0.9467,1
pepper_40noise.bmp,Hybrid Filter (HF),33.7,0.9276,1
pepper_40noise.bmp,AMSHF (Experiment),33.75,0.9281,1
pepper_40noise.bmp,AHF (Proposed),33.87,0.9284,1
pepper_50noise.bmp,Hybrid Filter (HF),32.14,0.9079,1
pepper_50noise.bmp,AMSHF (Experiment),32.18,0.9083,1
pepper_50noise.bmp,AHF (Proposed),32.41,0.9099,1
pepper_60noise.bmp,Hybrid Filter (HF),30.51,0.8861,1
pepper_60noise.bmp,AMSHF (Experiment),30.53,0.8863,1
pepper_60noise.bmp,AHF (Proposed),30.88,0.8907,2
pepper_70noise.bmp,Hybrid Filter (HF),29.06,0.8581,2
pepper_70noise.bmp,AMSHF (Experiment),29.06,0.8583,2
pepper_70noise.bmp,AHF (Proposed),29.45,0.8664,2
pepper_80noise.bmp,Hybrid Filter (HF),27.48,0.8201,2
pepper_80noise.bmp,AMSHF (Experiment),27.49,0.8202,2
pepper_80noise.bmp,AHF (Proposed),27.69,0.8288,2
pepper_90noise.bmp,Hybrid Filter (HF),25.3,0.7544,3
pepper_90noise.bmp,AMSHF (Experiment),25.3,0.7545,3
pepper_90noise.bmp,AHF (Proposed),25.22,0.7603,3
