Image Name,Filter Name,PSNR (dB),SSIM,Route Count
barbara_10noise.bmp,Hybrid Filter (HF),32.09,0.9833,1
barbara_20noise.bmp,Hybrid Filter (HF),28.74,0.9631,1
barbara_30noise.bmp,Hybrid Filter (HF),26.83,0.9405,1
barbara_40noise.bmp,Hybrid Filter (HF),25.21,0.9134,1
barbara_50noise.bmp,Hybrid Filter (HF),23.84,0.8803,1
barbara_60noise.bmp,Hybrid Filter (HF),22.57,0.8398,1
barbara_70noise.bmp,Hybrid Filter (HF),21.38,0.7872,2
barbara_80noise.bmp,Hybrid Filter (HF),20.07,0.7164,2
barbara_90noise.bmp,Hybrid Filter (HF),18.56,0.6172,3
