Image Name,Filter Name,PSNR (dB),SSIM,Route Count
cameraman_10noise.bmp,Hybrid Filter (HF),44.02,0.9969,1
cameraman_20noise.bmp,Hybrid Filter (HF),40.13,0.9927,1
cameraman_30noise.bmp,Hybrid Filter (HF),37.97,0.988,1
cameraman_40noise.bmp,Hybrid Filter (HF),35.9,0.9817,1
cameraman_50noise.bmp,Hybrid Filter (HF),34.0,0.973,1
cameraman_60noise.bmp,Hybrid Filter (HF),31.89,0.96,1
cameraman_70noise.bmp,Hybrid Filter (HF),30.03,0.9405,2
cameraman_80noise.bmp,Hybrid Filter (HF),27.69,0.9087,2
cameraman_90noise.bmp,Hybrid Filter (HF),25.06,0.8483,3
