Image Name,Filter Name,PSNR (dB),SSIM,Route Count
pepper_10noise.bmp,Hybrid Filter (HF),42.01,0.9839,1
pepper_20noise.bmp,Hybrid Filter (HF),38.13,0.9657,1
pepper_30noise.bmp,Hybrid Filter (HF),35.68,0.9467,1
pepper_40noise.bmp,Hybrid Filter (HF),33.76,0.9282,1
pepper_50noise.bmp,Hybrid Filter (HF),32.17,0.9083,1
pepper_60noise.bmp,Hybrid Filter (HF),30.49,0.8859,1
pepper_70noise.bmp,Hybrid Filter (HF),28.97,0.8567,2
pepper_80noise.bmp,Hybrid Filter (HF),27.3,0.816,2
pepper_90noise.bmp,Hybrid Filter (HF),25.13,0.7488,3
