Image Name,Filter Name,PSNR (dB),SSIM,Route Count
lena_10noise.bmp,Hybrid Filter (HF),43.31,0.9916,1
lena_20noise.bmp,Hybrid Filter (HF),39.36,0.9808,1
lena_30noise.bmp,Hybrid Filter (HF),37.2,0.9694,1
lena_40noise.bmp,Hybrid Filter (HF),35.36,0.9557,1
lena_50noise.bmp,Hybrid Filter (HF),33.85,0.9396,1
lena_60noise.bmp,Hybrid Filter (HF),32.11,0.9188,1
lena_70noise.bmp,Hybrid Filter (HF),30.45,0.8897,2
lena_80noise.bmp,Hybrid Filter (HF),28.49,0.8461,2
lena_90noise.bmp,Hybrid Filter (HF),26.07,0.7743,3
