Image Name,Filter Name,PSNR (dB),SSIM,Route Count
lena_10noise.bmp,Hybrid Filter (HF),43.3,0.9916,1
lena_20noise.bmp,Hybrid Filter (HF),39.26,0.9806,1
lena_30noise.bmp,Hybrid Filter (HF),37.13,0.9691,1
lena_40noise.bmp,Hybrid Filter (HF),35.29,0.9552,1
lena_50noise.bmp,Hybrid Filter (HF),33.79,0.9392,1
lena_60noise.bmp,Hybrid Filter (HF),32.09,0.9186,1
lena_70noise.bmp,Hybrid Filter (HF),30.44,0.8896,2
lena_80noise.bmp,Hybrid Filter (HF),28.49,0.8461,2
lena_90noise.bmp,Hybrid Filter (HF),26.07,0.7742,3
