Image Name,Filter Name,PSNR (dB),SSIM,Route Count
barbara_10noise.bmp,Hybrid Filter (HF),32.09,0.9833,1
barbara_20noise.bmp,Hybrid Filter (HF),28.69,0.9631,1
barbara_30noise.bmp,Hybrid Filter (HF),26.78,0.9403,1
barbara_40noise.bmp,Hybrid Filter (HF),25.14,0.9123,1
barbara_50noise.bmp,Hybrid Filter (HF),23.73,0.8775,1
barbara_60noise.bmp,Hybrid Filter (HF),22.48,0.8357,1
barbara_70noise.bmp,Hybrid Filter (HF),21.32,0.7831,2
barbara_80noise.bmp,Hybrid Filter (HF),20.04,0.7137,2
barbara_90noise.bmp,Hybrid Filter (HF),18.58,0.6175,3
