Image Name,Filter Name,PSNR (dB),SSIM,Route Count
pepper_10noise.bmp,Hybrid Filter (HF),42.0,0.9838,1
pepper_20noise.bmp,Hybrid Filter (HF),38.12,0.9655,1
pepper_30noise.bmp,Hybrid Filter (HF),35.63,0.9464,1
pepper_40noise.bmp,Hybrid Filter (HF),33.7,0.9276,1
pepper_50noise.bmp,Hybrid Filter (HF),32.13,0.9078,1
pepper_60noise.bmp,Hybrid Filter (HF),30.48,0.8856,1
pepper_70noise.bmp,Hybrid Filter (HF),28.96,0.8565,2
pepper_80noise.bmp,Hybrid Filter (HF),27.3,0.816,2
pepper_90noise.bmp,Hybrid Filter (HF),25.13,0.7488,3
