Image Name,Filter Name,PSNR (dB),SSIM,Route Count
cameraman_10noise.bmp,Hybrid Filter (HF),44.91,0.9973,1
cameraman_20noise.bmp,Hybrid Filter (HF),40.36,0.9935,1
cameraman_30noise.bmp,Hybrid Filter (HF),37.88,0.9887,1
cameraman_40noise.bmp,Hybrid Filter (HF),35.75,0.9824,1
cameraman_50noise.bmp,Hybrid Filter (HF),33.96,0.9741,1
cameraman_60noise.bmp,Hybrid Filter (HF),31.92,0.9612,1
cameraman_70noise.bmp,Hybrid Filter (HF),30.04,0.9416,2
cameraman_80noise.bmp,Hybrid Filter (HF),27.7,0.9093,2
cameraman_90noise.bmp,Hybrid Filter (HF),25.04,0.8482,3
