Image Name,Filter Name,PSNR (dB),SSIM,Route Count
barbara_10noise.bmp,Hybrid Filter (HF),32.08,0.9833,1
barbara_20noise.bmp,Hybrid Filter (HF),28.72,0.963,1
barbara_30noise.bmp,Hybrid Filter (HF),26.79,0.9401,1
barbara_40noise.bmp,Hybrid Filter (HF),25.18,0.913,1
barbara_50noise.bmp,Hybrid Filter (HF),23.82,0.8799,1
barbara_60noise.bmp,Hybrid Filter (HF),22.56,0.8395,1
barbara_70noise.bmp,Hybrid Filter (HF),21.38,0.7871,2
barbara_80noise.bmp,Hybrid Filter (HF),20.07,0.7163,2
barbara_90noise.bmp,Hybrid Filter (HF),18.56,0.6171,3
