Image Name,Filter Name,PSNR (dB),SSIM,Route Count
cameraman_10noise.bmp,Hybrid Filter (HF),44.92,0.9973,1
cameraman_20noise.bmp,Hybrid Filter (HF),40.59,0.9935,1
cameraman_30noise.bmp,Hybrid Filter (HF),38.17,0.9888,1
cameraman_40noise.bmp,Hybrid Filter (HF),35.87,0.9823,1
cameraman_50noise.bmp,Hybrid Filter (HF),33.94,0.9732,1
cameraman_60noise.bmp,Hybrid Filter (HF),31.76,0.9595,2
cameraman_70noise.bmp,Hybrid Filter (HF),29.9,0.9394,2
cameraman_80noise.bmp,Hybrid Filter (HF),27.66,0.9078,2
cameraman_90noise.bmp,Hybrid Filter (HF),25.05,0.8478,3
