Image Name,Filter Name,PSNR (dB),SSIM,Route Count
pepper_10noise.bmp,Hybrid Filter (HF),42.01,0.9842,1
pepper_20noise.bmp,Hybrid Filter (HF),38.15,0.9674,1
pepper_30noise.bmp,Hybrid Filter (HF),35.8,0.9514,1
pepper_40noise.bmp,Hybrid Filter (HF),33.87,0.9351,1
pepper_50noise.bmp,Hybrid Filter (HF),32.19,0.9163,1
pepper_60noise.bmp,Hybrid Filter (HF),30.48,0.8929,2
pepper_70noise.bmp,Hybrid Filter (HF),28.92,0.8608,2
pepper_80noise.bmp,Hybrid Filter (HF),27.27,0.8173,2
pepper_90noise.bmp,Hybrid Filter (HF),25.13,0.7493,3
