Image Name,Filter Name,PSNR (dB),SSIM,Route Count
baboon_10noise.bmp,Hybrid Filter (HF),32.87,0.9773,1
baboon_20noise.bmp,Hybrid Filter (HF),29.56,0.9504,1
baboon_30noise.bmp,Hybrid Filter (HF),27.37,0.9164,1
baboon_40noise.bmp,Hybrid Filter (HF),25.72,0.8757,1
baboon_50noise.bmp,Hybrid Filter (HF),24.45,0.8308,2
baboon_60noise.bmp,Hybrid Filter (HF),23.12,0.7719,1
baboon_70noise.bmp,Hybrid Filter (HF),21.86,0.6981,2
baboon_80noise.bmp,Hybrid Filter (HF),20.56,0.6023,2
baboon_90noise.bmp,Hybrid Filter (HF),19.04,0.462,3
